cloud,instance,compute,compute_label,plan,vcpu,memory,baserate,dburate,hourrate,selector,region,storage
AWS,c4.2xlarge,All-Purpose Compute,All-Purpose Compute ($0.40/DBU),Standard,8,15,0.40,1.000,0.4000,c4.2xlarge | 8CPUs | 15GB | 1DBU/hr | $0.4/hr,,
AWS,c4.2xlarge,All-Purpose Compute,All-Purpose Compute ($0.55/DBU),Premium,8,15,0.55,1.000,0.5500,c4.2xlarge | 8CPUs | 15GB | 1DBU/hr | $0.55/hr,,
AWS,c4.2xlarge,All-Purpose Compute,All-Purpose Compute ($0.65/DBU),Enterprise,8,15,0.65,1.000,0.6500,c4.2xlarge | 8CPUs | 15GB | 1DBU/hr | $0.65/hr,,
AWS,c4.2xlarge,DLT Advanced Compute,DLT Advanced Compute ($0.36/DBU),Standard,8,15,0.36,1.000,0.3600,c4.2xlarge | 8CPUs | 15GB | 1DBU/hr | $0.36/hr,,
AWS,c4.2xlarge,DLT Advanced Compute,DLT Advanced Compute ($0.36/DBU),Premium,8,15,0.36,1.000,0.3600,c4.2xlarge | 8CPUs | 15GB | 1DBU/hr | $0.36/hr,,
AWS,c4.2xlarge,DLT Advanced Compute,DLT Advanced Compute ($0.36/DBU),Enterprise,8,15,0.36,1.000,0.3600,c4.2xlarge | 8CPUs | 15GB | 1DBU/hr | $0.36/hr,,
AWS,c4.2xlarge,DLT Core Compute,DLT Core Compute ($0.20/DBU),Standard,8,15,0.20,1.000,0.2000,c4.2xlarge | 8CPUs | 15GB | 1DBU/hr | $0.2/hr,,
AWS,c4.2xlarge,DLT Core Compute,DLT Core Compute ($0.20/DBU),Premium,8,15,0.20,1.000,0.2000,c4.2xlarge | 8CPUs | 15GB | 1DBU/hr | $0.2/hr,,
AWS,c4.2xlarge,DLT Core Compute,DLT Core Compute ($0.20/DBU),Enterprise,8,15,0.20,1.000,0.2000,c4.2xlarge | 8CPUs | 15GB | 1DBU/hr | $0.2/hr,,
AWS,c4.2xlarge,DLT Pro Compute,DLT Pro Compute ($0.25/DBU),Standard,8,15,0.25,1.000,0.2500,c4.2xlarge | 8CPUs | 15GB | 1DBU/hr | $0.25/hr,,
AWS,c4.2xlarge,DLT Pro Compute,DLT Pro Compute ($0.25/DBU),Premium,8,15,0.25,1.000,0.2500,c4.2xlarge | 8CPUs | 15GB | 1DBU/hr | $0.25/hr,,
AWS,c4.2xlarge,DLT Pro Compute,DLT Pro Compute ($0.25/DBU),Enterprise,8,15,0.25,1.000,0.2500,c4.2xlarge | 8CPUs | 15GB | 1DBU/hr | $0.25/hr,,
AWS,c4.2xlarge,Jobs Compute,Jobs Compute ($0.10/DBU),Standard,8,15,0.10,1.000,0.1000,c4.2xlarge | 8CPUs | 15GB | 1DBU/hr | $0.1/hr,,
AWS,c4.2xlarge,Jobs Compute,Jobs Compute ($0.15/DBU),Premium,8,15,0.15,1.000,0.1500,c4.2xlarge | 8CPUs | 15GB | 1DBU/hr | $0.15/hr,,
AWS,c4.2xlarge,Jobs Compute,Jobs Compute ($0.20/DBU),Enterprise,8,15,0.20,1.000,0.2000,c4.2xlarge | 8CPUs | 15GB | 1DBU/hr | $0.2/hr,,
AWS,c4.2xlarge,Jobs Light Compute,Jobs Light Compute ($0.07/DBU),Standard,8,15,0.07,1.000,0.0700,c4.2xlarge | 8CPUs | 15GB | 1DBU/hr | $0.07/hr,,
AWS,c4.2xlarge,Jobs Light Compute,Jobs Light Compute ($0.10/DBU),Premium,8,15,0.10,1.000,0.1000,c4.2xlarge | 8CPUs | 15GB | 1DBU/hr | $0.1/hr,,
AWS,c4.2xlarge,Jobs Light Compute,Jobs Light Compute ($0.13/DBU),Enterprise,8,15,0.13,1.000,0.1300,c4.2xlarge | 8CPUs | 15GB | 1DBU/hr | $0.13/hr,,
AWS,c4.4xlarge,All-Purpose Compute,All-Purpose Compute ($0.40/DBU),Standard,16,30,0.40,2.000,0.8000,c4.4xlarge | 16CPUs | 30GB | 2DBU/hr | $0.8/hr,,
AWS,c4.4xlarge,All-Purpose Compute,All-Purpose Compute ($0.55/DBU),Premium,16,30,0.55,2.000,1.1000,c4.4xlarge | 16CPUs | 30GB | 2DBU/hr | $1.1/hr,,
AWS,c4.4xlarge,All-Purpose Compute,All-Purpose Compute ($0.65/DBU),Enterprise,16,30,0.65,2.000,1.3000,c4.4xlarge | 16CPUs | 30GB | 2DBU/hr | $1.3/hr,,
AWS,c4.4xlarge,DLT Advanced Compute,DLT Advanced Compute ($0.36/DBU),Standard,16,30,0.36,2.000,0.7200,c4.4xlarge | 16CPUs | 30GB | 2DBU/hr | $0.72/hr,,
AWS,c4.4xlarge,DLT Advanced Compute,DLT Advanced Compute ($0.36/DBU),Premium,16,30,0.36,2.000,0.7200,c4.4xlarge | 16CPUs | 30GB | 2DBU/hr | $0.72/hr,,
AWS,c4.4xlarge,DLT Advanced Compute,DLT Advanced Compute ($0.36/DBU),Enterprise,16,30,0.36,2.000,0.7200,c4.4xlarge | 16CPUs | 30GB | 2DBU/hr | $0.72/hr,,
AWS,c4.4xlarge,DLT Core Compute,DLT Core Compute ($0.20/DBU),Standard,16,30,0.20,2.000,0.4000,c4.4xlarge | 16CPUs | 30GB | 2DBU/hr | $0.4/hr,,
